Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
9/17/2009,2771.97,3.36,0.0012,2791.8,2771.97,2809.67,1.06M,-240.61M,0
9/18/2009,2789.33,17.36,0.0063,2767.77,2754.62,2789.33,927.18K,-129.55M,0
9/19/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/20/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/22/2009,2784.78,-4.55,-0.0016,2785.9,2772.17,2786.18,6.44M,13.51B,0
9/23/2009,2842.51,57.73,0.0207,2807.56,2807.56,2847.23,1.18M,20.83M,0
9/24/2009,2837.34,-5.17,-0.0018,2841.05,2827.04,2853.95,951.33K,-180.91M,0
9/25/2009,2821.34,-16,-0.0056,2822.45,2801.43,2822.45,990.73K,-130.67M,0
9/26/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/27/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
9/28/2009,2784.65,-36.69,-0.013,2818.58,2772,2818.58,497.64K,5.26M,0
9/29/2009,2807.32,22.67,0.0081,2800.12,2787.41,2807.32,722.94K,319.5M,0
9/30/2009,2800.82,-6.5,-0.0023,2796.88,2785.02,2805.85,1.09M,-121.91M,0
10/1/2009,2829.02,-55.16,-0.0191,2805.8,2794.54,2832.29,1.34M,-17M,0
10/2/2009,2820.03,-8.99,-0.0032,2796.98,2771.02,2820.03,680.73K,294.56M,0
10/3/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/4/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/5/2009,2819.48,-0.55,-0.0002,2821.54,2811.62,2824.71,23.86M,70.69M,0
10/6/2009,2884.46,64.98,0.023,2855.65,2855.65,2884.46,7.86M,-9.04B,0
10/7/2009,2967.06,82.6,0.0286,2919.35,2919.35,2967.06,1.81M,551.74M,0
10/8/2009,2968.02,0.96,0.0003,2971.32,2948.41,2971.32,1.51M,-39.07M,0
10/9/2009,2942.78,-25.24,-0.0085,2967.96,2939.57,2967.96,1.23M,36.69M,0
10/10/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/11/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/12/2009,2930.97,-11.81,-0.004,2944.51,2925.29,2966.25,762.76K,114.28M,0
10/13/2009,2930.09,-0.88,-0.0003,2935.69,2915.28,2949.75,829.55K,-89.7M,0
10/14/2009,2930.7,0.61,0.0002,2933.51,2921.06,2945.84,1.22M,-98.23M,0
10/15/2009,2942.79,12.09,0.0041,2959.4,2939.03,2961.57,1.1M,-47.97M,0
10/16/2009,2922.82,-19.97,-0.0068,2947.13,2922.15,2947.4,746.45K,78.75M,0
10/17/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/18/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/19/2009,2932.2,9.38,0.0032,2922.49,2911.1,2940.61,712.62K,94.6M,0
10/20/2009,2945.26,13.06,0.0045,2948.37,2939.25,2969.46,1.45M,563.91M,0
10/21/2009,2919.9,-25.36,-0.0086,2950.31,2915.37,2953.32,1.17M,-232.41M,0
10/22/2009,2888.72,-31.18,-0.0107,2917.46,2883.14,2917.46,1.31M,104.05M,0
10/23/2009,2932.99,44.27,0.0153,2899.65,2899.65,2932.99,1.27M,-38.93M,0
10/24/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/25/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
10/26/2009,2941.53,8.54,0.0029,2938.25,2922.55,2942.28,987.07K,-134.47M,0
10/27/2009,2935.74,-5.79,-0.002,2929.52,2915.68,2942.08,1.12M,-152.66M,0
10/28/2009,2908.21,-27.53,-0.0094,2933.74,2897.17,2933.74,1.21M,-250.35M,0
10/29/2009,2862.33,-45.88,-0.0158,2869.39,2848.56,2875.42,1.16M,-495.59M,0
10/30/2009,2908.5,46.17,0.0161,2912.94,2895.19,2931.85,1.83M,595.12M,0
10/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
11/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
11/2/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
11/3/2009,2908.24,24.06,0.0083,2938.56,2892.16,2947.23,3.02M,4.79B,0
11/4/2009,2907.63,-0.61,-0.0002,2915.9,2906.5,2933.52,1.28M,58.19M,0
11/5/2009,2944.51,36.88,0.0127,2912.12,2912.12,2944.51,1.48M,-296.13M,0
11/6/2009,2931.47,-13.04,-0.0044,2954.81,2928.05,2954.81,1.24M,66.65M,0
11/7/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
11/8/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
11/9/2009,2915.71,-15.76,-0.0054,2909.8,2903.73,2931.93,1.09M,-139.03M,0
11/10/2009,2996.71,81,0.0278,2948,2945.9,2996.71,1.73M,-325.26M,0
11/11/2009,3047.14,50.43,0.0168,2997.03,2991.53,3047.14,1.89M,414.96M,0
11/12/2009,3073.92,26.78,0.0088,3049.1,3042.44,3073.92,1.67M,-162.69M,0
